id,artist,album,name,length,danceability,acousticness,energy,instrumentalness,liveness,valence,loudness,speechiness,tempo,key,time_signature,mood
4BiiOzZCrXEzHRLYcYFiD5,The Chainsmokers,Sick Boy,Hope,180120,0.773,0.488,0.699,3.60E-06,0.0814,0.513,-5.982,0.0958,104.941,1,4,Energetic
0GxQ1A5L9xnMOytbP6eKBG,Maroon 5,Red Pill Blues (Deluxe),What Lovers Do (feat. SZA),199849,0.799,0.0788,0.597,5.66E-06,0.1,0.419,-5.131,0.0611,110.001,5,4,Energetic
7B3z0ySL9Rr0XvZEAjWZzM,Clairo,Immunity,Sofia,188386,0.744,0.598,0.619,0.00372,0.231,0.641,-9.805,0.039,112.997,0,4,Energetic
3FQCJI2t5LTbsRPfYVBSVB,Linkin Park,One More Light,Battle Symphony,216281,0.653,0.0369,0.839,0,0.068,0.669,-5.077,0.0685,149.034,10,4,Energetic
7IQwT5VzrCo7UcMRljkkmR,Fifth Harmony,Fifth Harmony,He Like That,217106,0.592,0.362,0.681,0,0.142,0.491,-5.597,0.141,147.016,0,4,Energetic
4pt5fDVTg5GhEvEtlz9dKk,Måneskin,Teatro d'ira - Vol. I,I WANNA BE YOUR SLAVE,173346,0.75,0.00165,0.608,0,0.178,0.958,-4.008,0.0387,132.507,1,4,Energetic
3FeVmId7tL5YN8B7R3imoM,Coldplay,My Universe,My Universe,228000,0.588,0.00813,0.701,0,0.2,0.443,-6.39,0.0402,104.988,9,4,Energetic
2qxmye6gAegTMjLKEBoR3d,Alec Benjamin,Narrated For You,Let Me Down Slowly,169353,0.652,0.74,0.557,0,0.124,0.483,-5.714,0.0318,150.073,1,4,Calm
6GmUVqe73u5YRfUUynZK6I,Passenger,All the Little Lights,Let Her Go,252733,0.479,0.365,0.545,0,0.0963,0.244,-7.346,0.0688,74.897,7,4,Calm
1HNkqx9Ahdgi1Ixy2xkKkL,Ed Sheeran,x (Deluxe Edition),Photograph,258986,0.614,0.607,0.379,0.000464,0.0986,0.201,-10.48,0.0476,107.989,4,4,Calm
3U4isOIWM3VvDubwSI3y7a,John Legend,Love In The Future (Expanded Edition),All of Me,269560,0.422,0.922,0.264,0,0.132,0.331,-7.064,0.0322,119.93,8,4,Calm
7vRriwrloYVaoAe3a9wJHe,gnash,us,"i hate u, i love u (feat. olivia o'brien)",251033,0.492,0.687,0.275,0,0.101,0.18,-13.4,0.3,92.6,6,4,Calm
6soW9pvcXoYrnyVmTC9ErH,Alex & Sierra,Little Do You Know,Little Do You Know,185200,0.5,0.746,0.292,0,0.188,0.37,-8.554,0.0323,145.879,0,4,Calm
4NFD9ea0uH0MtoC30yNYE1,Emotional Oranges,The Juice: Vol. II,West Coast Love,215386,0.696,0.00666,0.65,0.153,0.14,0.587,-5.712,0.0326,91.997,4,4,Calm
2b8fOow8UzyDFAE27YhOZM,Maroon 5,Memories,Memories,189486,0.764,0.837,0.32,0,0.0822,0.575,-7.209,0.0546,91.019,11,4,Calm
4DpNNXFMMxQEKl7r0ykkWA,Melanie Martinez,Cry Baby (Deluxe Edition),Play Date,179867,0.68,0.612,0.729,0,0.224,0.446,-5.077,0.0475,123.97,5,4,Calm
3je88Q4OvTqIx7BFRFYvRA,PRETTYMUCH,Phases,Phases,215759,0.77,0.169,0.636,0,0.0676,0.492,-6.724,0.131,105.93,11,4,Calm
4HBZA5flZLE435QTztThqH,Ariana Grande,Stuck with U,Stuck with U (with Justin Bieber),228482,0.597,0.223,0.45,0,0.382,0.537,-6.658,0.0418,178.765,8,3,Calm
